student_id,student_name,class_id,sex,dob,email,attendance
STU00001,Yem Panha,CLS0202,M,2010-09-04,stu00001@school.edu.kh,85.6
STU00002,Seang Chanthy,CLS0439,F,2011-04-04,stu00002@school.edu.kh,94.4
STU00003,Sorn Daro,CLS0383,M,2009-11-27,stu00003@school.edu.kh,65.6
STU00004,Saom Theany,CLS0279,F,2013-07-08,stu00004@school.edu.kh,71.3
STU00005,Noun Borath,CLS0463,M,2011-04-10,stu00005@school.edu.kh,74.0
STU00006,Seang Sophy,CLS0465,F,2012-02-06,stu00006@school.edu.kh,74.0
STU00007,Ith Sokun,CLS0226,M,2012-12-19,stu00007@school.edu.kh,70.6
STU00008,Kong Sokunmony,CLS0393,F,2008-02-19,stu00008@school.edu.kh,61.5
STU00009,Noun Virak,CLS0391,M,2009-10-28,stu00009@school.edu.kh,87.4
STU00010,Noun Sophary,CLS0108,F,2009-01-08,stu00010@school.edu.kh,93.0
STU00011,Nget Kolab,CLS0486,F,2009-03-20,stu00011@school.edu.kh,82.9
STU00012,Meas Sokunthyda,CLS0390,F,2009-09-02,stu00012@school.edu.kh,92.5
STU00013,Tep Sreytouch,CLS0156,F,2007-09-26,stu00013@school.edu.kh,91.1
STU00014,Heng Sreynit,CLS0196,F,2006-09-28,stu00014@school.edu.kh,65.5
STU00015,Kuy Bunna,CLS0001,M,2007-01-02,stu00015@school.edu.kh,90.5
STU00016,Heng Sothea,CLS0481,M,2011-04-15,stu00016@school.edu.kh,94.4
STU00017,Lim Piseth,CLS0222,M,2011-07-02,stu00017@school.edu.kh,64.8
STU00018,Seang Chantrea,CLS0340,F,2008-06-04,stu00018@school.edu.kh,67.6
STU00019,Pen Kunthea,CLS0202,F,2011-07-15,stu00019@school.edu.kh,91.6
STU00020,Tep Sokunmony,CLS0196,F,2014-03-05,stu00020@school.edu.kh,65.3
STU00021,Meas Panha,CLS0407,M,2007-02-19,stu00021@school.edu.kh,87.3
STU00022,Doeun Sreymony,CLS0182,F,2007-02-22,stu00022@school.edu.kh,73.1
STU00023,Phat Boramey,CLS0450,F,2011-12-12,stu00023@school.edu.kh,94.3
STU00024,Kong Chanreaksmey,CLS0309,F,2013-03-13,stu00024@school.edu.kh,69.0
STU00025,Sorn Vatey,CLS0174,M,2006-07-06,stu00025@school.edu.kh,83.7
STU00026,Ly Sreytouch,CLS0148,F,2008-07-10,stu00026@school.edu.kh,84.4
