student_id,student_name,class_id,sex,dob,email,attendance
S0001,Mony Sorn,10A,Male,1/3/2004,mony.sorn1@school.edu.kh,153
S0002,Rith Sorn,10A,Male,5/5/2006,rith.sorn2@school.edu.kh,153
S0003,Channary Kong,10A,Female,11/20/2006,channary.kong3@school.edu.kh,163
S0004,Navy Pich,10A,Female,6/7/2006,navy.pich4@school.edu.kh,157
S0005,Chan Sok,10A,Male,1/26/2005,chan.sok5@school.edu.kh,160
S0006,Vuthy Kong,10A,Male,5/24/2008,vuthy.kong6@school.edu.kh,177
S0007,Pich Yim,10A,Male,7/13/2004,pich.yim7@school.edu.kh,178
S0008,Bopha Pen,10A,Female,12/24/2004,bopha.pen8@school.edu.kh,156
S0009,Mony Heng,10A,Male,1/4/2007,mony.heng9@school.edu.kh,163
S0010,Seyha Kong,10A,Male,5/17/2005,seyha.kong10@school.edu.kh,178
S0011,Channary Lim,10A,Female,2/11/2005,channary.lim11@school.edu.kh,141
S0012,Virak Lim,10A,Male,11/16/2006,virak.lim12@school.edu.kh,153
S0013,Chenda Sorn,10A,Female,12/2/2007,chenda.sorn13@school.edu.kh,146
S0014,Sothea Chan,10A,Female,9/4/2007,sothea.chan14@school.edu.kh,143
S0015,Pich Keo,10A,Male,5/14/2007,pich.keo15@school.edu.kh,175
S0016,Dara Yim,10A,Male,9/28/2007,dara.yim16@school.edu.kh,173
S0017,Mony Chan,10A,Male,11/19/2007,mony.chan17@school.edu.kh,176
S0018,Dara Pen,10A,Male,10/4/2008,dara.pen18@school.edu.kh,144
S0019,Pisey Kong,10A,Female,11/27/2004,pisey.kong19@school.edu.kh,175
S0020,Sothea Keo,10A,Female,8/9/2008,sothea.keo20@school.edu.kh,143
S0021,Vanna Sok,10B,Female,2/23/2004,vanna.sok21@school.edu.kh,149
S0022,Sokha Heng,10B,Male,7/20/2008,sokha.heng22@school.edu.kh,149
S0023,Pich Sok,10B,Male,4/7/2007,pich.sok23@school.edu.kh,169
S0024,Vanna Heng,10B,Female,2/9/2004,vanna.heng24@school.edu.kh,151
S0025,Bopha Sok,10B,Male,1/17/2007,bopha.sok25@school.edu.kh,174
S0026,Chenda Heng,10B,Female,12/10/2007,chenda.heng26@school.edu.kh,175
S0027,Pich Yim,10B,Male,11/11/2008,pich.yim27@school.edu.kh,169
S0028,Bopha Lim,10B,Male,3/1/2005,bopha.lim28@school.edu.kh,142
S0029,Rith Sok,10B,Male,7/8/2004,rith.sok29@school.edu.kh,151
S0030,Sreyleak Yim,10B,Female,7/27/2008,sreyleak.yim30@school.edu.kh,175
S0031,Sreyleak Chan,10B,Female,4/9/2006,sreyleak.chan31@school.edu.kh,161
S0032,Vanna Pen,10B,Female,1/7/2007,vanna.pen32@school.edu.kh,166
S0033,Seyha Lim,10B,Male,7/16/2006,seyha.lim33@school.edu.kh,141
S0034,Sokha Sorn,10B,Male,8/6/2005,sokha.sorn34@school.edu.kh,143
S0035,Sreymom Kong,10B,Female,6/8/2004,sreymom.kong35@school.edu.kh,144
S0036,Mony Lim,10B,Male,12/9/2007,mony.lim36@school.edu.kh,163
S0037,Chenda Lim,10B,Female,10/23/2004,chenda.lim37@school.edu.kh,180
S0038,Channary Kong,10B,Female,1/28/2006,channary.kong38@school.edu.kh,166
S0039,Sreyleak Sorn,10B,Female,5/11/2008,sreyleak.sorn39@school.edu.kh,155
S0040,Seyha Lim,10B,Male,5/11/2006,seyha.lim40@school.edu.kh,157
S0041,Sreyleak Pen,11A,Female,2/10/2004,sreyleak.pen41@school.edu.kh,154
S0042,Navy Pen,11A,Female,5/9/2006,navy.pen42@school.edu.kh,154
S0043,Channary Lim,11A,Female,4/12/2006,channary.lim43@school.edu.kh,151
S0044,Sreyleak Pen,11A,Female,6/6/2007,sreyleak.pen44@school.edu.kh,143
S0045,Channary Lim,11A,Female,9/25/2004,channary.lim45@school.edu.kh,166
